ball,over,runs,commentary
1,16,1,"J Yadav to Iyer, 1 run"
2,16,0,"J Yadav to Hetmyer, no run"
3,16,0,"J Yadav to Hetmyer, no run"
4,16,1,"J Yadav to Hetmyer, 1 run"
5,16,1,"J Yadav to Iyer, 1 run"
6,16,4,"J Yadav to Hetmyer, FOUR runs"
1,17,4,"Bumrah to Iyer, FOUR runs"
2,17,0,"Bumrah to Iyer, no run"
3,17,0,"Bumrah to Iyer, no run"
4,17,2,"Bumrah to Iyer, 2 runs"
5,17,4,"Bumrah to Iyer, FOUR runs"
6,17,1,"Bumrah to Iyer, 1 run"
1,18,1,"Boult to Iyer, 1 run"
2,18,0,"Boult to Hetmyer, OUT"
3,18,0,"Boult to Patel, no run"
4,18,4,"Boult to Patel, FOUR runs"
5,18,0,"Boult to Patel, no run"
6,18,1,"Boult to Patel, 1 run"
1,19,1,"Bumrah to Patel, 1 run"
2,19,1,"Bumrah to Iyer, 1 run"
3,19,1,"Bumrah to Patel, 1 run"
4,19,1,"Bumrah to Iyer, 1 leg bye"
5,19,2,"Bumrah to Patel, 2 runs"
6,19,0,"Bumrah to Patel, no run"
1,20,1,"Coulter-Nile to Iyer, 1 run"
2,20,0,"Coulter-Nile to Patel, OUT"
3,20,0,"Coulter-Nile to Iyer, no run"
4,20,0,"Coulter-Nile to Iyer, no run"
5,20,6,"Coulter-Nile to Iyer, SIX runs"
6,20,0,"Coulter-Nile to Iyer, 1 run, OUT"
